"|,""latitude"",""longitude"",""sicaklik"",""timestamp"""
"-Lw4VqdkL3IafBYCIdic,""40.742264"",""30.325671"",""25.807292"",""1576345496482"""
"-Lw4W2k_PLMnQIRM9Jtu,""40.742264"",""30.325671"",""25.400391"",""1576345550154"""
"-Lw4WFuJw6PKb_f8WhNa,""40.742264"",""30.325671"",""24.179688"",""1576345603999"""
"-Lw4WJgt0bsXGQEvCLXK,""40.742264"",""30.325671"",""22.958984"",""1576345619519"""
"-Lw4WNULl3mdSDO2onTm,""40.742264"",""30.325671"",""22.552083"",""1576345635030"""
"-Lw4WRGjvOEnyjcVmVSO,""40.742264"",""30.325671"",""21.738281"",""1576345650546"""
"-Lw4WV3Y-0CJSworD40R,""40.742264"",""30.325671"",""21.33138"",""1576345666086"""
"-Lw4WYqxmfYGFkwhcR5q,""40.742264"",""30.325671"",""20.924479"",""1576345681622"""
"-Lw4WbdtbA-PHb7XVEuz,""40.742264"",""30.325671"",""18.076172"",""1576345697150"""
"-Lw4WfRJubCGXHGZmft6,""40.742264"",""30.325671"",""17.669271"",""1576345712673"""
"-Lw4WjDyIReTtlernCMS,""40.742264"",""30.325671"",""20.110677"",""1576345728619"""
"-Lw4Wn78bhAcB7ESxKHy,""40.742264"",""30.325671"",""16.855469"",""1576345744179"""
"-Lw4WqvKckmdE9F0Lvxk,""40.742264"",""30.325671"",""16.855469"",""1576345759702"""
"-Lw4Wuhhfl0_2SAHxFDM,""40.742264"",""30.325671"",""19.296875"",""1576345775228"""
"-Lw4c6dfgrerTyZRd5RA,""40.742264"",""30.325671"",""24.179688"",""1576347401100"""
"-Lw4cAS-Tmk9Kfg4_rct,""40.742264"",""30.325671"",""24.179688"",""1576347416667"""
"-Lw4cEFHbWqJNj1JyaQ0,""40.742264"",""30.325671"",""20.924479"",""1576347432241"""
"-Lw4cI2SCmOrRPvexIwJ,""40.742264"",""30.325671"",""20.924479"",""1576347447806"""
"-Lw4cLqisWnmSRuE0-vY,""40.742264"",""30.325671"",""24.179688"",""1576347463370"""
"-Lw4cPdx5GBh3hnwx9LW,""40.742264"",""30.325671"",""24.179688"",""1576347478938"""
"-Lw4cTSZwUC6nfFoiilT,""40.742264"",""30.325671"",""24.179688"",""1576347494544"""
"-Lw4cXG-fIgIsE2boBOC,""40.742264"",""30.325671"",""24.179688"",""1576347510109"""
"-Lw4ca3EEqlzR0U_Ooh2,""40.742264"",""30.325671"",""24.179688"",""1576347525674"""
"-Lw4cdrbpIZdi3DT8_5d,""40.742264"",""30.325671"",""24.179688"",""1576347541259"""
"-Lw4chewUv9BHKMPgLE7,""40.742264"",""30.325671"",""20.924479"",""1576347556825"""
"-Lw4clTBh58VkGd24boN,""40.742264"",""30.325671"",""24.179688"",""1576347572395"""
"-Lw4cpGPXmDgJAM_ktvP,""40.742264"",""30.325671"",""20.924479"",""1576347587959"""
"-Lw4ct3i5AMkKu0eux5_,""40.742264"",""30.325671"",""20.924479"",""1576347603528"""
"-Lw4cwru3u2fAMhEi3rh,""40.742264"",""30.325671"",""24.179688"",""1576347619096"""
"-Lw4d-f9yZj0Kz34AVzq,""40.742264"",""30.325671"",""20.924479"",""1576347634659"""
"-Lw4d3TM6PNmVH20h0R0,""40.742264"",""30.325671"",""24.179688"",""1576347650239"""
"-Lw4d7Gq1wQS7ZnF2sqb,""40.742264"",""30.325671"",""24.179688"",""1576347665814"""
"-Lw4dB46GRKbNJFL3pgx,""40.742264"",""30.325671"",""24.179688"",""1576347681382"""
"-Lw4dEsJPnaFuBEdV_w-,""40.742264"",""30.325671"",""20.924479"",""1576347696947"""
"-Lw4dIfigO82wuEABdfO,""40.742264"",""30.325671"",""21.33138"",""1576347712520"""
"-Lw4dMU-WtJ4Ut3EhE8L,""40.742264"",""30.325671"",""24.179688"",""1576347728093"""
"-Lw4dQHKUCqkYU0P9R1n,""40.742264"",""30.325671"",""20.924479"",""1576347743670"""
"-Lw4dU4bNwVMhV4ZBLmb,""40.742264"",""30.325671"",""24.179688"",""1576347759256"""
"-Lw4dXt50IhekBnknBr5,""40.742264"",""30.325671"",""20.924479"",""1576347774816"""
"-Lw4dagIZ6guTVX2mfSE,""40.742264"",""30.325671"",""24.179688"",""1576347790391"""
"-Lw4deUadJbJZHeoCXNy,""40.742264"",""30.325671"",""24.179688"",""1576347805957"""
"-Lw4diI2M00KLbryhPbD,""40.742264"",""30.325671"",""24.179688"",""1576347821535"""
"-Lw4dm5KgFZ-R4GNICvi,""40.742264"",""30.325671"",""24.179688"",""1576347837108"""
"-Lw4dptbLqDyiNavUC7H,""40.742264"",""30.325671"",""24.179688"",""1576347852678"""
"-Lw4dtgtQRTlg7rZOibK,""40.742264"",""30.325671"",""24.179688"",""1576347868252"""
"-Lw4dy5Ekiv0SbgmsODj,""40.742264"",""30.325671"",""24.179688"",""1576347886316"""
"-Lw4e0uURIDGdOm1qkBD,""40.742264"",""30.325671"",""24.199688"",""1576347901886"""
"-Lw4e4hysESqTT3kVKB1,""40.742264"",""30.325671"",""24.179688"",""1576347917470"""
"-Lw4e8WFQNMimTMEUA3g,""40.742264"",""30.325671"",""22.145182"",""1576347933037"""
"-Lw4eCJZf_WghKU6cHpm,""40.742264"",""30.325671"",""24.99349"",""1576347948606"""
"-Lw4eG6lnOeMV2Af-d0N,""40.742264"",""30.325671"",""21.738281"",""1576347964225"""
"-Lw4eJw0zj_AdJGIquX4,""40.742264"",""30.325671"",""24.586589"",""1576347979882"""
"-Lw4eNl1a1r2pUloNimY,""40.742264"",""30.325671"",""21.33138"",""1576347995550"""
"-Lw4eR_ap2iWpCc3fPmC,""40.742264"",""30.325671"",""24.586589"",""1576348011223"""
"-Lw4eVPTjbFzBIWTSYAN,""40.742264"",""30.325671"",""24.179688"",""1576348026886"""
"-Lw4eZEQQBdfhX9XRxCf,""40.742264"",""30.325671"",""24.179688"",""1576348042488"""
"-Lw4ec1g0xocuBz2KxCI,""40.742264"",""30.325671"",""24.179688"",""1576348058053"""
"-Lw4efpnnl9OugxaDaiv,""40.742264"",""30.325671"",""24.586589"",""1576348073683"""
"-Lw4ejeQWcYdMbuIhB3Z,""40.742264"",""30.325671"",""24.179688"",""1576348089359"""
"-Lw4enUDv1N-FEYcJULx,""40.742264"",""30.325671"",""24.179688"",""1576348105019"""
"-Lw4erJ7OFcgr5VjfdEO,""40.742264"",""30.325671"",""24.586589"",""1576348120682"""
"-Lw4ev7rl8IeYdXiBXlR,""40.742264"",""30.325671"",""24.586589"",""1576348136351"""
"-Lw4vrDbE0ixGhjsydDW,""40.742264"",""30.325671"",""20.924479"",""1576352576684"""
"-Lw4vv054d8dwB-uvDut,""40.742264"",""30.325671"",""21.738281"",""1576352592271"""
"-Lw4vypPZUmGg3EsW6fY,""40.742264"",""30.325671"",""21.33138"",""1576352607942"""
"-Lw4w1eDjvsTr-QSoj9i,""40.742264"",""30.325671"",""20.517578"",""1576352623640"""
"-Lw4w5TzWs4O5fmGLqMa,""40.742264"",""30.325671"",""20.517578"",""1576352639274"""
"-Lw4w9I0tkaZ6xcWopRq,""40.742264"",""30.325671"",""20.110677"",""1576352654841"""
"-Lw4wD6VckBs1aPXdyRt,""40.742264"",""30.325671"",""16.855469"",""1576352670504"""
"-Lw4wGvn0K7iKA-gEwUB,""40.742264"",""30.325671"",""19.296875"",""1576352686183"""
"-Lw4wKk_2EdiBcf30p2t,""40.742264"",""30.325671"",""18.483073"",""1576352701841"""
"-Lw4wOZg537lJqhgmqX8,""40.742264"",""30.325671"",""18.483073"",""1576352717403"""
"-Lw4wSN_11dyhpiz2Onc,""40.742264"",""30.325671"",""18.076172"",""1576352732973"""
"-Lw4wWAnNVd6rmm-Ttun,""40.742264"",""30.325671"",""18.076172"",""1576352748636"""
"-Lw4w_-f3O6a89SgqGuG,""40.742264"",""30.325671"",""18.076172"",""1576352764309"""
"-Lw4wcpt_qlmd-7tSxwE,""40.742264"",""30.325671"",""18.076172"",""1576352779977"""
"-Lw4wgeBccJ_m4kr0I9m,""40.742264"",""30.325671"",""17.669271"",""1576352795547"""
"-Lw4wkSewvROrkxPnagI,""40.742264"",""30.325671"",""17.669271"",""1576352811207"""
"-Lw4woHCk7I59IfzcYY0,""40.742264"",""30.325671"",""17.669271"",""1576352826876"""
"-Lw4ws68bE1ptMD8wVrZ,""40.742264"",""30.325671"",""17.669271"",""1576352842541"""
"-Lw4wvvmmXeQ_deCeCvr,""40.742264"",""30.325671"",""17.669271"",""1576352858218"""
"-Lw4wzkcOihl0sPloKDj,""40.742264"",""30.325671"",""17.26237"",""1576352873872"""
"-Lw4x2_r_CbxsIqc2tDR,""40.742264"",""30.325671"",""17.26237"",""1576352889522"""
"-Lw4x6PPztT-W4Iq5Lel,""40.742264"",""30.325671"",""17.26237"",""1576352905224"""
"-Lw4xAEV8FRIsKniPZl0,""40.742264"",""30.325671"",""17.26237"",""1576352920889"""
"-Lw4xE3DoWMY4v5mqLeR,""40.742264"",""30.325671"",""17.26237"",""1576352936547"""
"-Lw4xHsm3kmJUBDylnFW,""40.742264"",""30.325671"",""17.26237"",""1576352952242"""
"-Lw4xLhNDUFfKcg1-3Fv,""40.742264"",""30.325671"",""14.414062"",""1576352968071"""
"-Lw4xP_WhSlQNVpgKU1f,""40.742264"",""30.325671"",""17.26237"",""1576352983747"""
"-Lw4xTPKbKkFybeGPtw_,""40.742264"",""30.325671"",""14.414062"",""1576352999426"""
"-Lw4xXE2lKHGnoxW4Q2n,""40.742264"",""30.325671"",""17.26237"",""1576353015089"""
"-Lw4xa2rf766lJ9FGF1h,""40.742264"",""30.325671"",""17.26237"",""1576353030750"""
"-Lw4xdsuPoOOIw2_0kZy,""40.742264"",""30.325671"",""17.26237"",""1576353046418"""
