"|,""latitude"",""longitude"",""sicaklik"",""timestamp"""
"-LwUSCmUsXfjxoW7snaf,""40.742264"",""30.325671"",""11.972656"",""1576780750277"""
"-LwUSG_owDA-Mc3I-njY,""40.742264"",""30.325671"",""11.565755"",""1576780765878"""
"-LwUSKOfME4BoBDDwhg6,""40.742264"",""30.325671"",""14.414062"",""1576780781451"""
"-LwUSOC0uRStbqWU1MQS,""40.742264"",""30.325671"",""10.751953"",""1576780797022"""
"-LwUSS-EGvOrDj6FByHw,""40.742264"",""30.325671"",""13.193359"",""1576780812586"""
"-LwUSVnNOR8mWb3ddD08,""40.742264"",""30.325671"",""13.193359"",""1576780828186"""
"-LwUSZb5l0DCwf8lKq94,""40.742264"",""30.325671"",""12.786458"",""1576780843742"""
"-LwUScPKtijZ-LCT3fIa,""40.742264"",""30.325671"",""12.786458"",""1576780859318"""
"-LwUSgCiEaDx_0blPmZo,""40.742264"",""30.325671"",""12.379557"",""1576780874885"""
"-LwUSk5nepn9spNpPSqp,""40.742264"",""30.325671"",""9.938151"",""1576780890951"""
"-LwUSnvsjgbJXNJYz_jR,""40.742264"",""30.325671"",""9.53125"",""1576780906579"""
"-LwUSrjxZ8RFUFFdUIfU,""40.742264"",""30.325671"",""9.53125"",""1576780922141"""
"-LwUSvY9GIrqqcpyN3p5,""40.742264"",""30.325671"",""8.717448"",""1576780937732"""
"-LwUSzLr_r7hbgdScN23,""40.742264"",""30.325671"",""11.158854"",""1576780953305"""
"-LwUT2AjRYxc9qPJBqw5,""40.742264"",""30.325671"",""11.158854"",""1576780969052"""
"-LwUT6-3kSJEf1qyNljX,""40.742264"",""30.325671"",""8.717448"",""1576780984612"""
"-LwUT9nGfxy3jFGeQMeN,""40.742264"",""30.325671"",""8.310547"",""1576781000178"""
"-LwUTDaS6UZXAOp8jkD9,""40.742264"",""30.325671"",""10.751953"",""1576781015736"""
"-LwUTHOeo05L44UenwNQ,""40.742264"",""30.325671"",""10.751953"",""1576781031303"""
"-LwUTLC-0k9blB-PiUq3,""40.742264"",""30.325671"",""10.751953"",""1576781046873"""
"-LwUTP-LTvApLFv-PWt_,""40.742264"",""30.325671"",""10.345052"",""1576781062452"""
"-LwUTSnY0S-4Zwbaux4-,""40.742264"",""30.325671"",""7.496745"",""1576781078019"""
"-LwUTWaoWxkaPu1oWRqr,""40.742264"",""30.325671"",""10.345052"",""1576781093587"""
"-LwUT_QP6cQRUjghty76,""40.742264"",""30.325671"",""10.345052"",""1576781109233"""
"-LwUTdDWm_0QH9ePrNnr,""40.742264"",""30.325671"",""10.345052"",""1576781124792"""
"-LwUTh0ceqRFODkrJA1l,""40.742264"",""30.325671"",""20.110677"",""1576781140353"""
"-LwUTkomw1BvzjYk3XLz,""40.742264"",""30.325671"",""20.110677"",""1576781155925"""
"-LwUToc5AmDFfhAMGrVK,""40.742264"",""30.325671"",""13.193359"",""1576781171497"""
"-LwUTsQILXSLI9nAbcE3,""40.742264"",""30.325671"",""8.717448"",""1576781187051"""
"-LwUTwDMmRhifxQEED2o,""40.742264"",""30.325671"",""8.310547"",""1576781202609"""
"-LwUU-0Qidb49S4AMpPb,""40.742264"",""30.325671"",""7.496745"",""1576781218170"""
"-LwUU2ofY1_vz_XCmmSA,""40.742264"",""30.325671"",""10.345052"",""1576781233732"""
